307 3
-11.061218 0.3423767 -0.33998108 
-11.274292 0.4118042 -0.2561798 
-11.38443 0.3902588 -0.21548462 
-11.441895 0.35913086 -0.25138855 
-11.458649 0.39505005 -0.16998291 
-11.475403 0.41659546 -0.18435669 
-11.492172 0.35194397 -0.16519165 
-11.468231 0.30885315 -0.13407898 
-11.470627 0.15562439 -0.17477417 
-11.420349 0.07661438 -0.24899292 
-11.398788 0.05986023 -0.39982605 
-11.298233 -0.007171631 -0.46687317 
-11.16655 -0.09576416 -0.5746002 
-11.027695 -0.14364624 -0.5985565 
-10.879257 -0.15802002 -0.5817871 
-10.726028 -0.10295105 -0.5482788 
-10.596741 -0.09576416 -0.40940857 
-10.4578705 -0.0047912598 -0.29447937 
-10.328583 0.08859253 -0.09576416 
-10.194504 0.16041565 0.09098816 
-10.101135 0.23223877 0.18196106 
-10.031708 0.26815796 0.33758545 
-9.931152 0.21308899 0.3902588 
-9.840164 0.15322876 0.3136444 
-9.698914 0.15322876 0.2633667 
-9.603149 0.11013794 -0.0023956299 
-9.54808 0.05986023 -0.16519165 
-9.552872 0.011978149 -0.4118042 
-9.543289 -0.009567261 -0.61291504 
-9.528931 -0.0909729 -0.8882446 
-9.593567 -0.12928772 -0.9457092 
-9.622299 -0.13407898 -1.201889 
-9.62709 -0.13407898 -1.4460907 
-9.64624 -0.0909729 -1.5346832 
-9.62709 -0.07182312 -1.6831207 
-9.682159 -0.02154541 -1.7860718 
-9.773132 -0.02394104 -1.7573395 
-9.847351 0.0071868896 -1.7094574 
-9.866501 0.014373779 -1.7166443 
-9.94072 0.0 -1.6041107 
-10.089172 0.07901001 -1.4389191 
-10.156204 0.05506897 -1.4341278 
-10.280701 0.11972046 -1.2880859 
-10.345352 0.14605713 -1.2234344 
-10.328583 0.2633667 -1.177948 
-10.3190155 0.32562256 -0.9911957 
-10.354919 0.31124878 -0.90501404 
-10.352524 0.33998108 -0.7589569 
-10.326187 0.45489502 -0.6296692 
-10.369293 0.61291504 -0.5386963 
-10.39563 0.6560211 -0.4812317 
-10.481812 0.5602417 -0.6488342 
-10.591949 0.51475525 -0.8954315 
-10.996567 0.58418274 -0.9145813 
-10.941498 0.55307007 -1.1372375 
-11.073181 0.34477234 -0.9073944 
-11.372452 0.09098816 -0.69911194 
-11.693283 0.03831482 -0.6201019 
-12.023682 0.21548462 -0.6895294 
