3093 3
-0.9744415 9.866516 0.24182129 
-1.0558472 9.861725 0.32321167 
-1.1803436 9.856934 0.38067627 
-1.2425842 9.775528 0.3830719 
-1.2593536 9.718063 0.47644043 
-1.2258301 9.694122 0.33518982 
-1.2737122 9.653427 0.27772522 
-1.1923065 9.629486 0.24182129 
-1.1611938 9.526535 0.14126587 
-1.2090759 9.560059 0.07182312 
-1.3000488 9.533722 0.19154358 
-1.3335724 9.519348 0.11253357 
-1.2425842 9.481049 0.05267334 
-1.2114716 9.526535 -0.04069519 
-1.1492157 9.445129 -0.10534668 
-1.1803436 9.378098 -0.2059021 
-1.3168182 9.253601 -0.19871521 
-1.4676514 9.198532 -0.19392395 
-1.5394745 9.136276 -0.25378418 
-1.6232758 9.085999 -0.19871521 
-1.7286072 8.973465 -0.16041565 
-1.9536743 8.95192 -0.0047912598 
-2.2122498 8.899246 0.21069336 
-2.427719 8.77475 0.296875 
-2.537857 8.717285 0.35673523 
-2.5570068 8.698135 0.53630066 
-2.6000977 8.67659 0.47883606 
-2.6192627 8.626312 0.59376526 
-2.7413635 8.564056 0.5315094 
-2.8467102 8.566452 0.588974 
-2.8036041 8.42041 0.6272888 
-2.6503754 8.516174 0.46687317 
-2.6455994 8.403656 0.43574524 
-2.6934814 8.415619 0.34477234 
-2.7150269 8.346191 0.40940857 
-2.762909 8.348587 0.52194214 
-2.9041595 8.374924 0.6248932 
-2.9783936 8.319855 0.6201019 
-3.0645752 8.221695 0.5698242 
-3.1316223 8.030151 0.6584015 
-3.078949 7.850586 0.7086792 
-3.0095062 7.7739716 0.84036255 
-2.9472656 7.8122864 0.6368561 
-2.9544525 7.771576 0.6392517 
-2.9712067 7.6901855 0.588974 
-3.1483765 7.5632935 0.4908142 
-3.241745 7.383728 0.36392212 
-3.6080627 7.2209167 0.32321167 
-4.024658 7.127548 0.3208313 
-4.359848 7.127548 0.3040619 
-4.5729218 6.964737 0.17237854 
-4.9559937 6.9048767 0.0095825195 
-5.1403503 6.8569946 -0.06703186 
-5.3582306 6.794754 -0.04309082 
-5.5138397 6.9288177 -0.19871521 
-5.640732 7.0222015 -0.11013794 
-5.8681946 6.976715 -0.13168335 
-5.8562164 7.0030365 -0.27053833 
-6.0453644 6.947983 -0.22265625 
-6.1100006 6.947983 -0.22984314 
-6.143524 7.026993 -0.25378418 
-6.1411285 7.0820465 -0.2059021 
-6.1770477 7.074875 0.10774231 
-6.167465 7.0222015 0.3208313 
-6.1363373 6.9982605 0.27772522 
-6.0573273 6.8450317 0.23942566 
-5.96875 6.746872 0.21308899 
-6.1818237 6.5529327 0.21308899 
-6.30394 6.4212494 0.23223877 
-6.387726 6.2560577 0.15562439 
-6.4835052 6.2129517 0.11730957 
-6.5122223 6.157898 0.10295105 
-6.6103973 6.1411285 0.06703186 
-6.7181244 6.004669 0.1484375 
-6.81868 5.8993225 0.07421875 
-6.89769 5.71257 0.12689209 
-6.9982452 5.6455383 0.01675415 
-7.132324 5.609619 -0.06463623 
-7.278366 5.6383514 -0.22026062 
-7.481888 5.5425873 -0.19392395 
-7.6231384 5.4683533 -0.30885315 
-7.8170624 5.49469 -0.21308899 
-7.910446 5.444412 -0.16519165 
-8.066071 5.427658 -0.04069519 
-8.228867 5.3271027 0.0071868896 
-8.619125 5.118805 0.43095398 
-8.803482 5.118805 0.12928772 
-9.01178 5.3271027 -0.03112793 
-9.155426 5.4803314 -0.06703186 
-9.102753 5.49469 -0.07421875 
-9.033325 5.39653 -0.0095825195 
-8.968674 5.2265472 0.12210083 
-8.944733 5.1331787 0.28012085 
-8.966293 4.996704 0.24182129 
-9.009384 5.0062866 0.24659729 
-9.15303 5.0421906 0.26097107 
-9.306259 4.956009 0.19871521 
-9.296692 4.9631805 0.12928772 
-9.18895 4.9200897 0.06942749 
-9.150635 4.809952 0.02394104 
-9.069229 4.6279907 -0.04788208 
-9.1410675 4.522644 -0.0287323 
-9.241623 4.3861847 -0.16998291 
-9.3302 4.3095703 -0.2849121 
-9.373306 4.201828 -0.48602295 
-9.354141 4.122818 -0.48362732 
-9.418793 4.115631 -0.61291504 
-9.4379425 4.1491547 -0.6105194 
-9.579208 4.1874695 -0.6177063 
-9.722855 4.1515503 -0.6799469 
-9.854538 4.067749 -0.62249756 
-9.8138275 4.079727 -0.56503296 
-9.94072 4.036621 -0.50756836 
-9.892838 3.9576263 -0.4692688 
-9.971848 3.8714294 -0.43814087 
-9.957489 3.6846771 -0.32800293 
-9.904816 3.7086182 -0.4333496 
-9.926361 3.6391907 -0.5746002 
-9.854538 3.351883 -0.8571167 
-9.801865 3.5434265 -0.7805023 
-9.761154 3.6176453 -0.83078 
-9.742004 3.6631317 -0.83078 
-9.718063 3.5913086 -0.83078 
-9.622299 3.5242615 -1.0773926 
-9.464279 3.217804 -1.4796143 
-9.543289 3.1747131 -1.4676514 
-9.667786 3.229782 -1.6065063 
-9.689331 3.2537231 -1.4365234 
-9.773132 3.236969 -1.498764 
-9.837769 3.0837402 -1.6663666 
-10.110718 3.0837402 -1.6041107 
-10.462662 2.8778381 -1.5849609 
-10.761932 2.8203735 -1.3814545 
-10.795456 2.6910858 -1.419754 
-10.740387 2.561798 -1.4724274 
-10.723633 2.4636383 -1.3311768 
-10.539276 2.3894196 -1.1252747 
-10.508148 2.3750458 -0.93852234 
-10.3980255 2.2697144 -0.8547363 
-10.292679 2.2050629 -0.7589569 
-10.192123 2.0135345 -0.8164215 
-10.151413 1.9225464 -0.51475525 
-10.156204 1.8555145 -0.43574524 
-10.168182 1.7836914 -0.38786316 
-10.172958 1.7046814 -0.36871338 
-10.165787 1.6591797 -0.29927063 
-10.17775 1.5370789 -0.1197052 
-10.13945 1.4915924 -0.08140564 
-10.010162 1.4652557 0.03591919 
-9.86171 1.3311768 0.09576416 
-9.66539 1.2306213 -0.06225586 
-9.569626 1.0678253 -0.18435669 
-9.595963 0.9098053 -0.13407898 
-9.636658 0.79008484 -0.14125061 
-9.595963 0.5913696 -0.05267334 
-9.660599 0.44293213 -0.09576416 
-9.636658 0.37590027 -0.07421875 
-9.8090515 0.23223877 -0.09336853 
-9.852142 0.19633484 -0.1484375 
-9.907211 0.09577942 -0.23942566 
-9.811432 -0.06463623 -0.27293396 
-9.6510315 -0.16998291 -0.16758728 
-9.504974 -0.28730774 0.03831482 
-9.4379425 -0.30166626 0.23703003 
-9.397247 -0.25138855 0.3543396 
-9.476257 -0.18913269 0.45010376 
-9.600754 -0.1771698 0.40701294 
-9.66539 -0.2059021 0.3327942 
-9.770737 -0.26335144 0.25138855 
-9.828201 -0.28251648 0.22984314 
-9.840164 -0.31362915 0.21308899 
-9.82341 -0.31124878 0.10295105 
-9.840164 -0.2896881 0.10774231 
-9.885666 -0.25857544 0.03591919 
-9.835388 -0.29447937 -0.11253357 
-9.768341 -0.33518982 -0.16758728 
-9.698914 -0.39982605 -0.16281128 
-9.672577 -0.40701294 -0.24180603 
-9.615112 -0.4237671 -0.292099 
-9.581589 -0.42616272 -0.34475708 
-9.6510315 -0.48362732 -0.4333496 
-9.658203 -0.47644043 -0.375885 
-9.64624 -0.4740448 -0.39743042 
-9.603149 -0.5219269 -0.45968628 
-9.598358 -0.5746002 -0.23223877 
-9.672577 -0.57699585 -0.1484375 
-9.780319 -0.6009369 0.0574646 
-9.90242 -0.6296692 0.3136444 
-9.907211 -0.69192505 0.55545044 
-9.976639 -0.6296692 0.6320648 
-9.96228 -0.70388794 0.7972717 
-9.959885 -0.70388794 0.94810486 
-9.928757 -0.6990967 1.1156921 
-9.928757 -0.7158661 1.233017 
-9.8688965 -0.70388794 1.2545624 
-9.912003 -0.7014923 1.1947021 
-9.928757 -0.67515564 1.1348572 
-9.935944 -0.6871338 1.0845795 
-9.897629 -0.64164734 1.0869751 
-9.859329 -0.6823425 1.1803436 
-9.840164 -0.5434723 1.1348572 
-9.856934 -0.5506592 1.0510559 
-9.919174 -0.52911377 1.0055695 
-9.900024 -0.47644043 0.746994 
-9.928757 -0.533905 0.5817871 
-9.976639 -0.52671814 0.34477234 
-9.983826 -0.51953125 0.17956543 
-10.029312 -0.47164917 -0.03112793 
-10.125076 -0.4740448 -0.20350647 
-10.208878 -0.50038147 -0.2753296 
-10.22084 -0.5243225 -0.39982605 
-10.242401 -0.5530548 -0.3471527 
-10.230423 -0.57699585 -0.33998108 
-10.196899 -0.5458679 -0.44293213 
-10.213669 -0.51475525 -0.5315094 
-10.261551 -0.5315094 -0.6392517 
-10.242401 -0.60572815 -0.77093506 
-10.263947 -0.63446045 -0.83317566 
-10.287888 -0.6248779 -0.94091797 
-10.271118 -0.6584015 -0.9361267 
-10.263947 -0.61291504 -0.89782715 
-10.228027 -0.63446045 -1.0055695 
-10.2400055 -0.59614563 -0.9624634 
-10.235214 -0.58657837 -0.9361267 
-10.280701 -0.54826355 -0.86909485 
-10.326187 -0.56503296 -0.7661438 
-10.342957 -0.50038147 -0.6584015 
-10.273514 -0.4908142 -0.61291504 
-10.254364 -0.4165802 -0.23223877 
-10.283096 -0.40222168 -0.19152832 
-10.37886 -0.38786316 -0.04069519 
-10.417175 -0.3615265 -0.0574646 
-10.484207 -0.2753296 -0.04548645 
-10.596741 -0.22265625 -0.15562439 
-10.608704 -0.18673706 -0.14125061 
-10.630249 -0.17237854 -0.20829773 
-10.623077 -0.15083313 -0.25857544 
