2826 3
5.446808 6.782776 1.2042847 
4.8171387 6.5242004 1.1085205 
5.6263733 6.4260406 0.98402405 
5.2720337 6.1770477 0.9361267 
5.2744293 6.0812836 0.746994 
5.300766 5.9160767 0.78289795 
5.312729 5.8921356 0.73023987 
5.3534393 5.8370667 0.70628357 
5.5042725 5.793976 0.4908142 
5.6790466 5.770035 0.49560547 
5.937622 5.779602 0.40222168 
6.1123962 5.81073 0.21788025 
6.2440796 5.755661 0.13647461 
6.3159027 5.695816 0.13407898 
6.3589935 5.6479187 0.17477417 
6.387726 5.5521545 0.15083313 
6.3470306 5.482727 0.19871521 
6.375763 5.422867 0.28012085 
6.277603 5.410904 0.3327942 
6.2129517 5.3701935 0.39265442 
6.1530914 5.3294983 0.66319275 
6.2321014 5.284012 0.81881714 
6.2919617 5.269638 0.98402405 
6.406891 5.228943 1.2737122 
6.6032104 5.173874 1.335968 
6.6989746 5.102051 1.3551178 
6.8402405 5.023041 1.4628601 
6.835449 4.910507 1.5514374 
6.8450165 4.7453156 1.4963837 
6.7540436 4.6615143 1.4628601 
6.758835 4.5561676 1.4556732 
6.7540436 4.42688 1.3934326 
6.914459 4.321533 1.312027 
7.1682434 4.2066193 1.2402039 
7.565674 4.0294495 1.0941467 
7.7859497 3.8666382 1.0702057 
7.8936768 3.7373505 0.96725464 
7.9511414 3.699051 0.82839966 
7.965515 3.6822815 0.48841858 
7.953537 3.6966553 0.28970337 
7.9319916 3.6152496 0.14604187 
7.9990234 3.6846771 -0.11013794 
8.171417 3.5434265 -0.32321167 
8.429977 3.5290527 -0.42616272 
9.727646 3.4883575 -0.70150757 
10.867279 3.4835663 -1.6136932 
10.680527 3.485962 -2.367859 
9.952698 3.509903 -2.427719 
8.920792 3.526657 -1.9584503 
8.128311 3.4907532 -1.3742676 
7.711731 3.3183746 -0.9361267 
7.7620087 3.055008 -0.6607971 
8.171417 2.683899 -0.49320984 
8.59758 2.2577362 -0.18675232 
9.052475 1.95607 0.06703186 
9.339783 1.766922 0.30166626 
9.605545 1.6472168 0.509964 
9.689331 1.6496124 0.6272888 
9.696518 1.7094574 0.79008484 
9.732437 1.7956543 0.8355713 
9.797073 1.8531189 1.0079651 
9.825806 1.9081879 0.9792328 
9.943115 1.9297333 1.1085205 
10.151413 1.9225464 1.1372528 
10.443512 1.9656372 1.1875305 
10.781097 1.9345245 1.0869751 
11.0468445 1.9728241 0.9289551 
11.216843 2.0494385 0.9576874 
11.343735 2.094925 0.7852936 
11.394012 2.1452026 0.746994 
11.410767 2.1284485 0.7541809 
11.477798 2.161972 0.73262024 
11.480194 2.1260529 0.7733307 
11.544846 2.0566254 0.7805176 
11.616669 2.0494385 0.87867737 
11.693283 2.011139 0.9720459 
11.745956 1.9776154 1.0343018 
11.702866 1.8914185 1.1611938 
11.710037 1.8555145 1.2617493 
11.590332 1.7333984 1.3503265 
11.427521 1.6927032 1.2928772 
11.231201 1.5562286 1.3407593 
11.101913 1.4987793 1.3623047 
10.836151 1.3814545 1.2761078 
10.747574 1.3192139 1.3048401 
10.613495 1.2449951 1.2665405 
10.534485 1.1444397 1.1276703 
10.37886 1.0726013 0.9457092 
10.278305 0.92655945 0.86190796 
10.21846 0.87867737 0.7685394 
10.261551 0.7541809 0.69911194 
10.225632 0.6081238 0.5123596 
10.122681 0.50756836 0.5602417 
10.089172 0.3208313 0.4980011 
10.041275 0.27772522 0.43095398 
9.854538 0.28012085 0.5051727 
9.811432 0.15322876 0.5315094 
9.7300415 0.1723938 0.5770111 
9.715668 0.16281128 0.6967163 
9.777924 0.11013794 0.5482788 
9.682159 0.12210083 0.57221985 
9.667786 0.1149292 0.45968628 
9.634262 0.14126587 0.5171509 
9.828201 0.1771698 0.36392212 
10.103531 0.15802002 0.15322876 
